22,Mastervac brake assistance system
5089,4WS Invalid data
5090,DF507 INVALID ADAS MULTIPLEX INFO
5091,DF418 RADAR NOT DETECTED BY ABS CAN CHASSIS
5092,4WD Invalid data
5093,USA Invalid data
5094,HEVC Invalid data
5095,EBA Invalid data
5096,CDM Invalid data
5097,DF420 IDM NOT DETECTED BY ABS CAN CHASSIS
504A,DF004 FRONT LEFT OUTLET SOLENOID VALVE CIRCUIT
504B,DF022 CIRCUIT. FRONT RIGHT INTAKE SOLENOID VALVE
504C,DF024 CIRCUIT. EXHAUST SOLENOID VALVE FRONT RIGHT
504D,DF003 REAR LEFT INLET SOLENOID VALVE CIRCUIT
504E,DF005 CIRCUIT. REAR LEFT EXHAUST SOLENOID VALVE
504F,DF023 CIRCUIT. REAR RIGHT INTAKE SOLENOID VALVE
505A,DF157 EV ACTIVATION DURATION TOO LONG
505B,HEVC not ready as actuator
505C,DF276 CONTROL UNIT
505D,Brake Fluid Level
505E,EBA Failure
505F,DF357 INVALID CRUISE CONTROL DATA
506A,DF410 WHEEL SPEED SENSORS COMPLIANCE
506B,DF056 BRAKE PEDAL CONTACTS MATCH
506C,DF262 BRAKE MASTER CYLINDER PRESSURE TRANSMITTER CIRCUIT
506D,DF411 MASTERVAC PRESSURE
506E,DF108 STEERING ANGLE SENSOR
507A,DF413 ABS CONTROL UNIT CONFIGURATION
507B,DF415 FUNCTION DISABLED
507C,DF416 FUNCTION DISABLED
507D,4WD
507E,DF361 BUTTON FOR CONTROL GRIP
507F,Stroke sensor
50A0,DF364 VACUUM
50A1,DF511 FUNCTION ARK
50A2,DF366 COMPLIANCE SIZE LEFT FRONT WHEEL
50A3,DF367 COMPLIANCE SIZE RIGHT FRONT WHEEL
50A4,DF369 COMPLIANCE SIZE REAR RIGHT WHEEL
50A5,DF368 COMPLIANCE SIZE REAR LEFT WHEEL
50A6,DF344 CONTROL UNIT
50A7,DF272 CONTROL UNIT
50AA,DF509 ABS COUNTER
50AB,Reserved C1A-HS
50AC,Reserved C1A-HS-1
50AD,Reserved C1A-HS-2
50B0,EPB_ACTUATOR_RIGHT
50B1,EPB_ACTUATOR_LEFT
50B2,EPB_SWITCH
50B3,EPB_ELECTRONIC_ECU
50B5,EPB_ASSEMBLY_CHECK_NOT_DONE
50B6,EPB_MAX_BRAKING
50B8,EPB_BRAKE_INCOHERENT
50B9,EPB_BRAKE_STATE_UNKNOWN
C073,DF421 COMMUNICATION CAN-V1
C076,DF422 CAN CHASSIS COMMUNICATION
E101 Lost communication with add. Display on vehicle CAN
E104,Lost Communication with 4WS on Vehicle CAN
E112,Lost Communication with EBA on Vehicle CAN
E140,Lost Communication with ECM on Vehicle CAN
E141,Lost Communication with AT on Vehicle CAN
E143,Lost Communication with HEVC on Vehicle CAN
E14A,Lost Communication with 4WD on Vehicle CAN
E14E,Lost Communication with METER on Vehicle CAN
E14F,Lost Communication with BCM on Vehicle CAN
E154,Lost Communication with MIU on Vehicle CAN
E156,Lost Communication with SWAS on Vehicle CAN
E15B,Lost communication with USM on Vehicle CAN
E176,Lost Communication with IDM on Vehicle CAN
E204,Lost Communication with 4WS on Chassis CAN
E212,Lost Communication with EBA on Chassis CAN
E243,Lost Communication with HEVC on Chassis-CAN
E252,Lost Communication with ADAS on Chassis CAN
E255,Lost Communication with APB on Chassis CAN
E25F,Lost Communication with RADAR on Chassis-CAN
E265,Lost Communication with USA on Chassis CAN 
E276,Lost Communication with IDM on Chassis-CAN
