10,Stop light relay command
470,DF030 DRIVE BATTERY TRANSMITTER CAN SIGNAL
471,DF109 TEMP. DRIVE BATTERY COOLING CIRCUIT
472,Cooling valve 2 control circuit
473,AC - Heat pump circuit temperature sensor 1 (managed by PAC system)
474,AC - Heat pump circuit temperature sensor 2 (managed by PAC system)
475,AC - Heat pump circuit valve 1 (managed by PAC system)
476,AC - Heat pump circuit Valve 2 (managed by PAC system)
480,DF031 DRIVE BATTERY RELAY CIRCUIT
481,DF055 DRIVE BATTERY RELAY CIRCUIT
482,DF056 DRIVE BATTERY RELAY CIRCUIT
483,DF057 DRIVE BATTERY RELAY CIRCUIT
485,DF058 DRIVE BATTERY RELAY CIRCUIT
486,DF068 DRIVE BATTERY RELAY CIRCUIT
490,Battery high voltage lock
491,Battery high voltage lock loop 1
492,Battery high voltage lock loop 2
495,DF066 TEMPERATURE SENSOR CAN SIGNAL
500,No ETS Sleeping that leads to a flat lead 12V battery
502,Battery temperature sensors
503,Mastervac Voltage supply
504,DF111 CONFORMITY INFORMATION BRAKE CONTACT
510,State of function (SOF) of 14V battery
511,14V Battery current sensor
512,pulse box
513,14V Battery heat relay
525,DF020 MONITORING INPUTS REGULATOR FUNCTION
530,DF079 COOLANT PRESSURE SENSOR CIRCUIT
560,DF124 EMPTY 12V BATTERY
564,DF016 REGULATOR/SPEED LIMITER FUNCTION
571,Closed Brake Sensor
574,Cruise Control/Speed ​​Limiter - Displayed Speed
575,DF017 CRUISE CONTROL BUTTON  
601,DF032 PERFORMANCE ELECTRIC MOTOR
606,DF045 CONTROL UNIT
610,DF046 ENGINE TORQUE INFORMATION
641,DF047 SUPPLY VOLTAGE NO. 1 THE GIVER
651,DF048 SUPPLY VOLTAGE NO. 2 THE GIVER
657,DF178 POWER RELAY CONTROL CIRCUIT
703,DF049 INFORMATION BRAKE LIGHT SWITCH
833,Beginning of Clutch Pedal Move Switch
1525,DF018 MATCH MULTIPLEX SIGNALS CRUISE CONTROL
1654,Communication with Aribag Control module
1655,airbag data further to a crash
2120,DF050 RAIL 2 PEDAL POTENTIOMETER CIRCUIT
030A,DF119 COMMUNICATION CAN
042F,DF140 LOCK BCB
043F,DF192 LOCK
046A,Peltier internal fan
046B,Feedback from Peltier external fan
046C,Feedback from Peltier internal fan
046D,Peltier request relay electrical command circuit
046E,Peltier temperature
047E,Peltier Cells
04A0,DF208 DRIVE BATTERY CHARGE
04A1,Power Line Gateway
04B1,DF110 CIRCUIT TEMPERATURE SENSOR
04B2,DF210 TEMPERATURE SENSOR CIRCUIT CHARGER 1
04B3,DF167 LEAKAGE CURRENT
04B4,DF142 CIRCUIT. CONTACT SW. LEVER POSITION
04B5,DF105 TEMP. DRIVE BATTERY COOLING CIRCUIT
04B6,DF087 HEATER CONNECTION
04B7,MVAC leakage detection with pump off
04B8,MVAC leakage detection with pump on
04B9,MVAC low level differential pressure
04BA,Mastervac vacuum pump command open circuit
04BB,MVAC pump life time G1 fail
04BC,MVAC pump life time G2 fail
04BD,DC charging relays
04BE,Pressure Sensor 1 command
04BF,Pressure sensor 1 fault
04C0,Pressure sensor 2 command
04C1,Pressure sensor 2 fault
04C2,Incoherecy between operating type request send by EVC and Operating type status received from BMS
04C5,Open circuit of air flaps_ Short circuit to ground of air flaps_ Short circuit of air flaps
060A,DF128 PATH CONTROL
060B,DF060 CONTROL UNIT
060C,DF209 ESP FUNCTION
160C,DF061 CONTROL UNIT
C103,Communication With Gear Shift Control Module (Shifter)
C121,Communication With ABS/ESP Control Module (safety)
C122,Communication With ABS/ESP Control Module
C123,Front Collision Warning
C129,Communication With Brake System Control Module
C140,Communication With Body Control Module
C146,Communication With Gateway 'A' (BIC)
C155,Communication With Instrument Panel Cluster (IPC) Control Module
C164,Communication With Climate Control ECU Module
C198,Communication With Telematic Control Module
C199,Communication with Energy Management Module
C19A,Communication with CSHV Unit (Dedicated for Crash when APC is off for daimler application)
C19B,Communication with LBC8 Unit
C19C,Safety mode 1 received from BMS
C415,Invalid Data Received From Anti-Lock Brake System Control Module
C418,Invalid data received from uncoupled brake pedal control module 
