,734,45,45,1,0,0,,220101,620101,ff,Switch_Climate_Control_Short_Press.Switch_V,0:switch V not pressed;1:switch V pressed
,734,46,46,1,0,0,,220101,620101,ff,Switch_Climate_Control_Short_Press.Switch_U,0:switch U not pressed;1:switch U pressed
,734,47,47,1,0,0,,220101,620101,ff,Switch_Climate_Control_Short_Press.Switch_T,0:switch T not pressed;1:switch T pressed
,734,24,31,1,0,0,,220108,620108,ff,Output control Telltales,1:ON;2:OFF
,734,24,31,1,0,0,%,220115,620115,ff,Output control PWM Display
,734,24,31,1,0,0,,220116,620116,ff,Output Control Display Color Test,0:Black;1:Red;2:Green;3:Blue;4:White
,734,26,31,1,0,0,,220120,620120,ff,RadioKey,0:No pressed;1:Button 1 pressed;2:Button 2 pressed;3:Button 3 pressed;4:Button 4 pressed;5:Button 5 pressed;6:Button 6 pressed
,734,31,31,1,0,0,,220121,620121,ff,CP_On_Off,0:switch Off;1:switch On
,734,24,39,1,0,0,,220123,620123,ff,Last_Touch.CoordinateX
,734,40,55,1,0,0,,220123,620123,ff,Last_Touch.CoordinateY
,734,24,31,.4,0,1,%,220204,620204,ff,Global_dimming.Max_Command
,734,32,39,.4,0,1,%,220204,620204,ff,Global_dimming.Min_Command
,734,40,47,.4,0,1,%,220204,620204,ff,Global_dimming.Max_Display_Night
,734,48,55,.4,0,1,%,220204,620204,ff,Global_dimming.Min_Display_Night
,734,56,63,.4,0,1,%,220204,620204,ff,Global_dimming.Max_Display_day
,734,64,71,.4,0,1,%,220204,620204,ff,Global_dimming.Min_Display_day
,734,72,79,.4,0,1,%,220204,620204,ff,Global_dimming.Max_LCD_Night
,734,80,87,.4,0,1,%,220204,620204,ff,Global_dimming.Min_LCD_Night
,734,88,95,.4,0,1,%,220204,620204,ff,Global_dimming.Max_LCD_Day
,734,96,103,.4,0,1,%,220204,620204,ff,Global_dimming.Min_LCD_Day
,734,104,111,.4,0,1,%,220204,620204,ff,Global_dimming.Day_Telltale
,734,112,119,.4,0,1,%,220204,620204,ff,Global_dimming.Night_Telltale
,734,120,127,.4,0,1,%,220204,620204,ff,Global_dimming.Dark_Display
,734,24,31,10,0,0,ms,220218,620218,ff,KL_ShortPush
,734,24,31,100,0,0,ms,220219,620219,ff,KL_LongPush
,734,28,31,10,0,0,ms,220230,620230,ff,PRESS_FILTER
,734,27,31,100,0,0,ms,220231,620231,ff,LONG_PRESS
,734,28,31,50,-2,0,ms,220232,620232,ff,CONTINOUS_PRESS
,734,27,31,5,-6,0,s,220236,620236,ff,JAMMED_PRESS
,734,28,31,500,0,0,ms,220258,620258,ff,ONOFF_LONG_PRESS
,734,24,31,.05,0,2,,220260,620260,ff,SmoothingLow.K_value
,734,32,39,.05,0,2,,220260,620260,ff,SmoothingLow.J_value
,734,44,47,5,0,0,ms,220260,620260,ff,SmoothingLow.TE_value
,734,24,31,1,0,0,,220301,620301,ff,HW_Reset_Counter
,734,24,31,1,0,0,,220302,620302,ff,SW_Reset_Counter
,734,24,31,1,0,0,,220321,620321,ff,EEPROM_default
,734,24,143,1,0,0,,220323,620323,2ff,Part Identification
,734,24,103,1,0,0,,22F012,62F012,2ff,Operationnal_Reference
,734,24,47,1,0,0,km,22F0D0,62F0D0,ff,Mileage
,734,24,31,1,0,0,,22F0D1,62F0D1,ff,DTCoccurenceCounter
,734,24,39,.001,0,3,V,22F0D2,62F0D2,ff,BaterryVoltage
,734,24,31,1,40,0,°C,22F0D3,62F0D3,ff,Display_Temperature
,734,24,103,1,0,0,,22F187,62F187,2ff,vehicleManufacturerSparePartNumber
,734,24,103,1,0,0,,22F188,62F188,2ff,vehicleManufacturerECUSoftwareNumber
,734,24,103,1,0,0,,22F18A,62F18A,2ff,systemSupplierIdentifier
,734,24,183,1,0,0,,22F18C,62F18C,2ff,ECUSerialNumber
,734,24,159,1,0,0,,22F190,62F190,2ff,VIN
,734,24,103,1,0,0,,22F191,62F191,2ff,vehicleManufacturerECUHardwareNumber
,734,24,79,1,0,0,,22F194,62F194,2ff,systemSupplierECUSoftwareNumber
,734,24,79,1,0,0,,22F195,62F195,2ff,systemSupplierECUSoftwareVersionNumber
,734,24,31,1,0,0,,22F1A0,62F1A0,4ff,diagnosticVersion
